text,intent
Let me think... Not sure.,undecided
Show me cheap options,ask_price
Any stylish jackets?，under CNY 999,ask_product
"Hmm, Not what I had in mind I guess.，不超过499元",reject
I think I like them? Looks good.，under CNY 599,confirmation
Not sure about these,reject
None of these，≤199块,reject
I need something not expensive，around 499 RMB,ask_price
Thank you... maybe.，价位在899-999元,thank_you
appreciate your help，around 499 RMB,goodbye
"Sure, Let me think works.，≤499块",undecided
Any low-cost jackets?，≤699块,ask_price
These are good,confirmation
"You know, Appreciate it.，≤599块",thank_you
hello assistant，不超过499元,greet
"Thanks, that’s helpful",confirmation
hello assistant，around 399 RMB,greet
Thanks a lot，under CNY 299,thank_you
"Hmm, I can't tell I guess.，不超过199元",undecided
Not really — just saying.,reject
Do you have anything under $50?,ask_price
What’s the cheapest you have?，under CNY 999,ask_price
I like minimal design，around 799 RMB,ask_style
I'm on a budget,ask_price
Do you have anything under $100?,ask_price
These aren’t good,reject
thank you,goodbye
"Hmm, Not what I’m looking for I guess.，under CNY 699",reject
I'm searching for a raincoat,ask_product
Not what I had in mind — cool!，不超过299元,reject
I'm done shopping，预算499元,goodbye
Nothing stands out，around 699 RMB,reject
I don’t know... maybe.，≤999块,undecided
I'm searching for a raincoat，不超过999元,ask_product
I don’t like these? Looks good.，499元以内,reject
Could I see others，≤199块,reject
hey there,greet
Price range under $80,ask_price
"Hmm, I’ll pass I guess.",reject
Much appreciated!，under CNY 699,thank_you
"Hmm, Too cheap I guess.",reject
Much appreciated.，价位在499-599元,thank_you
Thanks a lot for the tips.，不超过999元,thank_you
hi again，不超过599元,greet
"Appreciate it, mate.，599元以内",thank_you
Perfect,confirmation
Nothing else，预算999元,done
Just what I had in mind 👍,confirmation
Looking for something formal,ask_style
Do you have anything under $120?,ask_price
Too expensive，预算499元,reject
I'm searching for a raincoat，预算499元,ask_product
Let me think about it.，价位在899-999元,undecided
bye，around 999 RMB,goodbye
I appreciate it.，不超过499元,thank_you
Do you have anything under $200?,ask_price
Much appreciated.,thank_you
I'm into casual style,ask_style
No. That should work.,reject
Looking for items below $50,ask_price
"Definitely Sure, this works.",confirmation
I'm thinking it over.，价位在399-499元,undecided
Nice selection. That should work.，399元以内,confirmation
Do you have sporty outfits?，599元以内,ask_style
Done for now，under CNY 199,done
Do you have anything under $100?,ask_price
I’ll pass on these,reject
hey there，价位在399-499元,greet
Let me think... None of these.,reject
Can I see some coats?,ask_product
Not what I’m looking for，价位在499-599元,reject
It's hard to say.,undecided
I need more time to decide.，不超过199元,undecided
I need more time to decide.，预算999元,undecided
I’m still weighing my options.，under CNY 499,undecided
bye,goodbye
These match my needs — I like that.，around 799 RMB,confirmation
greetings，预算799元,greet
Thanks so much for this.，价位在199-299元,thank_you
Not sure — I suppose.，around 499 RMB,undecided
Not sure — I suppose.,undecided
I'd say Don’t like them.，799元以内,reject
Do you have any shoes?，不超过499元,ask_product
Nope... maybe.,reject
No. That should work.，around 399 RMB,reject
Nope,reject
I’m done looking,done
It's a tough call.，under CNY 799,undecided
Show me winter wear，799元以内,ask_product
Thank you indeed.，预算799元,thank_you
They’re fine,confirmation
Not suitable，≤599块,reject
This doesn’t help,reject
cheers，under CNY 999,goodbye
No more help needed? Looks good.，≤599块,done
Try something else，价位在199-299元,reject
I'm into casual style，499元以内,ask_style
Catch you later — just saying.,goodbye
I think I’ll browse a little more.，预算399元,undecided
Let me think... Not sure.，under CNY 499,undecided
Thanks again!,thank_you
Yeah,confirmation
I'd say Done for now.，预算499元,done
I'm not sure yet.，价位在399-499元,undecided
Could I see others!，价位在499-599元,reject
Price range under $64,ask_price
see you next time，不超过999元,goodbye
Do you have casual clothes?,ask_product
I like minimal design，under CNY 499,ask_style
hello,greet
I'm thinking it over.,undecided
thank you，≤699块,goodbye
Thank you kindly.，≤399块,thank_you
I need something not expensive,ask_price
I'm unsure right now.，不超过499元,undecided
I'm searching for a raincoat，价位在899-999元,ask_product
Appreciate it a lot.，不超过299元,thank_you
thanks a lot，under CNY 199,goodbye
"Hmm, I’d like to see other options I guess.，预算399元",reject
No more help needed，不超过299元,done
Thanks a bunch.,thank_you
"Hmm, I haven't decided I guess.，不超过699元",undecided
Exactly,confirmation
I want a trendy look，预算699元,ask_style
Looking for items below $80,ask_price
Looks good to me,confirmation
I want to be sure before choosing.，under CNY 499,undecided
"Well, Thanks a lot.",thank_you
Wonderful，价位在699-799元,confirmation
Thank you，价位在99-199元,thank_you
These will work，299元以内,confirmation
Any stylish jackets?,ask_product
Everything looks nice.，399元以内,undecided
Could I see others!,reject
I'm done shopping,done
