name,category,style,price
Zara Trench Coat,coat,sporty,52.43
Adidas Raincoat,coat,sporty,66.47
Zara Chelsea Boots,boots,formal,161.59
Uniqlo High-top Sneakers,sneakers,sporty,100.61
Adidas Canvas Shoes,shoes,formal,54.36
Adidas Derby Shoes,shoes,casual,169.47
Nike Wool Coat,coat,casual,47.35
Zara Chelsea Boots,boots,sporty,153.88
Uniqlo Oxford Shoes,shoes,formal,199.96
Uniqlo Derby Shoes,shoes,formal,171.49
Adidas Track Jacket,jacket,sporty,131.15
Uniqlo Chelsea Boots,boots,sporty,124.57
Nike Training Sneakers,sneakers,casual,48.41
Nike Trench Coat,coat,casual,124.94
Nike Hiking Boots,boots,sporty,147.23
Zara Raincoat,coat,formal,142.25
Adidas Leather Shoes,shoes,formal,197.96
Adidas Canvas Shoes,shoes,formal,138.21
Uniqlo Leather Shoes,shoes,sporty,123.77
Zara Trench Coat,coat,sporty,189.62
H&M Bomber Jacket,jacket,casual,158.94
Uniqlo Windbreaker,jacket,formal,179.32
Uniqlo Hiking Boots,boots,formal,164.52
Nike Puffer Jacket,jacket,casual,167.51
Adidas Windbreaker,jacket,casual,189.92
Adidas Ankle Boots,boots,casual,160.58
Adidas Training Sneakers,sneakers,casual,130.07
Zara Canvas Shoes,shoes,sporty,101.77
Uniqlo Training Sneakers,sneakers,formal,157.09
Nike Training Sneakers,sneakers,casual,104.42
Adidas Leather Shoes,shoes,sporty,79.84
Uniqlo High-top Sneakers,sneakers,casual,74.11
H&M Canvas Shoes,shoes,casual,40.98
Nike Derby Shoes,shoes,sporty,44.89
H&M Running Sneakers,sneakers,sporty,136.63
H&M Combat Boots,boots,casual,125.58
H&M High-top Sneakers,sneakers,sporty,130.0
Zara Running Sneakers,sneakers,casual,41.88
Adidas Puffer Jacket,jacket,casual,159.87
H&M High-top Sneakers,sneakers,formal,125.36
H&M Derby Shoes,shoes,casual,126.79
Nike Derby Shoes,shoes,formal,168.35
Zara Training Sneakers,sneakers,casual,142.38
H&M Raincoat,coat,sporty,98.06
Adidas Running Sneakers,sneakers,casual,192.92
Zara Windbreaker,jacket,sporty,79.61
Zara Hiking Boots,boots,casual,58.0
Adidas Running Sneakers,sneakers,casual,110.27
Adidas Hiking Boots,boots,formal,173.54
Nike Peacoat,coat,sporty,97.67
Zara Chelsea Boots,boots,sporty,156.96
Nike Chelsea Boots,boots,formal,176.32
Zara Windbreaker,jacket,formal,113.5
Adidas Puffer Jacket,jacket,sporty,52.52
Zara Hiking Boots,boots,sporty,174.24
Nike Wool Coat,coat,casual,90.55
Nike Hiking Boots,boots,sporty,156.63
Uniqlo Combat Boots,boots,formal,122.93
Zara Chelsea Boots,boots,sporty,180.32
Nike Oxford Shoes,shoes,casual,173.8
Nike Chelsea Boots,boots,sporty,92.38
Zara Hiking Boots,boots,casual,175.17
Zara Raincoat,coat,formal,92.08
