text,intent
talk to you later,goodbye
recommend jacket minimalist around 200,goodbye
i'd like sporty skirt below 200,goodbye
looking for handbag ~ 200,goodbye
Any elegant jackets?,ask_style
recommend clean handbag less than 80,ask_style
recommend trainers minimalist around 80,ask_style
recommend overcoat budget 80 in refined style,ask_style
Show me formal wear,ask_style
i need hype overcoat from 84 to 156,ask_style
find me sporty overcoat,ask_style
looking for a smart leather shoes about 120,ask_style
What do you have in business style?,ask_style
find me trainers refined max 100,ask_style
i need preppy parka,ask_style
find me shirt max 100 in hype aesthetic,ask_style
Looking for something formal,ask_style
i need trainers athletic below 80,ask_style
pull up collegiate footwear,ask_style
i need shirt less than 80 in laid back style,ask_style
I'm done shopping,goodbye
i need a preppy ankle boots budget 150,goodbye
find me elegant jeans under 150,goodbye
find me a edgy dress budget 150,goodbye
Looking for items below $50,ask_price
recommend handbag about 50,ask_price
i need edgy outerwear,ask_price
can you show boots hype from 35 and 65,ask_price
I like minimal design,ask_style
i'd like parka max 80 in edgy style,ask_style
looking for tea dress below 80,ask_style
recommend coat about 80 in chic style,ask_style
I'm searching for a raincoat,ask_product
recommend parka retro less than 200,ask_product
recommend jeans from 140 to 260 in everyday aesthetic,ask_product
find me retro jeans,ask_product
Do you sell vintage clothes?,ask_style
i need sneakers between 140 and 260,ask_style
find me chic parka budget 200,ask_style
i'd like sporty shoes cap at 200,ask_style
hi again,greet
looking for trainers approximately 50,greet
find me laid back jeans,greet
recommend a elegant shoes around 50,greet
Can I see some coats?,ask_product
recommend a hype running shoes between 140 and 260,ask_product
i need a sporty overcoat cap at 200,ask_product
find me footwear in the range of 140 and 260,ask_product
I need something stylish,ask_style
can you show vintage shirt from 56 and 104,ask_style
pull up athletic jeans about 80,ask_style
recommend streetwear leather shoes less than 80,ask_style
greetings,greet
can you show a clean shirt cap at 120,greet
looking for grunge jeans,greet
find me classic combat boots budget 120,greet
Do you have casual clothes?,ask_product
i need athleisure trainers budget 50,ask_product
looking for casual jeans from 35 to 65,ask_product
looking for midi dress below 50,ask_product
show me handbag budget 120,ask_style
i need urban parka,ask_style
find me sneakers ~120 in classic aesthetic,ask_style
recommend formal running shoes from 70 and 130,ask_product
find me jeans about 100,ask_product
can you show coat about 100 in classic vibe,ask_product
I'll come back later,goodbye
can you show handbag less than 200,goodbye
looking for minimalist jeans,goodbye
can you show dressy coat,goodbye
bye,goodbye
looking for derby shoes elegant max 100,goodbye
looking for formal coat,goodbye
can you show summer dress less than 100 in edgy aesthetic,goodbye
Show me winter wear,ask_product
show me dressy parka,ask_product
i want a everyday jeans less than 150,ask_product
can you show jacket refined max 150,ask_product
good evening,greet
can you show jeans cap at 50,greet
find me shoes casual ~50,greet
i need urban sneakers,greet
Affordable options please,ask_price
looking for urban coat between 56 and 104,ask_price
can you show combat boots retro under 80,ask_price
can you show combat boots approximately 80 in dressy aesthetic,ask_price
thanks a lot,goodbye
looking for elegant jeans below 200,goodbye
find me clean handbag below 200,goodbye
recommend a chic running shoes budget 200,goodbye
i want clean leather shoes cap at 120,ask_style
looking for grunge jeans,ask_style
can you show smart skirt,ask_style
i need parka about 100,goodbye
recommend streetwear running shoes,goodbye
find me a grunge skirt max 100,goodbye
i want a minimal handbag from 35 to 65,ask_price
can you show derby shoes budget 50,ask_price
recommend elegant shirt,ask_price
recommend grunge tea dress about 150,ask_style
looking for footwear about 150 in grunge style,ask_style
find me preppy shirt in the range of 105 and 195,ask_style
I'm into casual style,ask_style
i need a elegant skirt about 200,ask_style
i need a dressy jacket ~ 200,ask_style
pull up classic jeans between 140 and 260,ask_style
looking for a refined handbag budget 150,goodbye
recommend a elegant midi dress about 150,goodbye
looking for a retro boots max 150,goodbye
I need something not expensive,ask_price
recommend overcoat minimal about 100,ask_price
i'd like overcoat casual about 100,ask_price
recommend skirt in the range of 70 and 130,ask_price
goodbye,goodbye
find me skirt cap at 50,goodbye
can you show a urban handbag below 50,goodbye
looking for retro skirt,goodbye
I need sneakers,ask_product
looking for a retro handbag approx 150,ask_product
recommend outerwear max 150 in hype vibe,ask_product
find me shirt from 105 to 195,ask_product
Show me cheap options,ask_price
recommend preppy handbag,ask_price
i need a casual skirt less than 50,ask_price
can you show skirt elegant in the range of 35 and 65,ask_price
hello assistant,greet
can you show clean skirt between 84 and 156,greet
i want jacket chic max 120,greet
find me footwear less than 120,greet
recommend parka collegiate in the range of 56 and 104,greet
find me preppy handbag,greet
looking for minimal dress budget 80,greet
i need streetwear skirt,ask_product
i want dressy shoes,ask_product
i need skirt below 150 in edgy style,ask_product
hi,greet
find me elegant skirt,greet
find me jeans budget 120 in edgy aesthetic,greet
recommend skirt approximately 120 in preppy style,greet
thank you,goodbye
recommend leather shoes budget 100,goodbye
can you show coat less than 100 in elegant vibe,goodbye
looking for combat boots budget 100 in refined vibe,goodbye
hello,greet
looking for leather shoes smart cap at 50,greet
looking for elegant leather shoes,greet
recommend parka about 50 in smart vibe,greet
I want to buy some boots,ask_product
can you show shirt approximately 150,ask_product
recommend jeans cap at 150 in elegant vibe,ask_product
can you show retro boots cap at 150,ask_product
i need jeans everyday approximately 50,greet
i need handbag about 50,greet
can you show footwear minimalist approximately 50,greet
I want a trendy look,ask_style
i'd like clean tea dress less than 200,ask_style
looking for dressy shirt budget 200,ask_style
recommend shirt less than 200 in elegant style,ask_style
looking for dressy shirt ~100,goodbye
find me grunge handbag,goodbye
looking for clean handbag around 100,goodbye
looking for handbag collegiate from 84 to 156,goodbye
recommend a preppy combat boots about 120,goodbye
i want vintage overcoat,goodbye
find me jeans dressy below 80,greet
i need handbag under 80 in elegant vibe,greet
i need elegant boots max 80,greet
looking for handbag grunge ~100,greet
i want footwear grunge about 100,greet
find me collegiate ankle boots,greet
recommend combat boots from 35 to 65 in urban vibe,greet
can you show a athleisure handbag cap at 50,greet
can you show outerwear smart max 50,greet
looking for collegiate ankle boots less than 50,ask_style
can you show a preppy summer dress max 50,ask_style
recommend running shoes approximately 50 in streetwear style,ask_style
hey there,greet
recommend clean shirt,greet
can you show shirt about 100 in dressy style,greet
looking for athletic jeans,greet
pull up leather shoes budget 120 in retro style,ask_price
find me ankle boots retro about 120,ask_price
i need smart shirt max 120,ask_price
Do you have anything under $100?,ask_price
looking for shoes from 70 to 130 in everyday aesthetic,ask_price
pull up a smart footwear below 100,ask_price
can you show a minimalist jeans in the range of 70 and 130,ask_price
i want midi dress urban budget 120,greet
looking for skirt about 120,greet
looking for clean outerwear,greet
recommend tea dress in the range of 140 and 260,ask_product
i'd like a hype jeans approximately 200,ask_product
find me handbag streetwear ~200,ask_product
i need a hype shirt max 100,greet
find me shirt athleisure from 70 to 130,greet
can you show elegant overcoat from 70 to 130,greet
i need urban dress,ask_style
looking for ankle boots cap at 50,ask_style
i need elegant overcoat,ask_style
i need retro shirt budget 200,ask_price
show me edgy footwear,ask_price
show me overcoat elegant cap at 200,ask_price
pull up trainers approximately 100 in sporty style,ask_price
i'd like preppy skirt,ask_price
find me handbag max 100,ask_price
looking for a retro tea dress max 120,greet
i need outerwear max 120 in elegant style,greet
pull up shirt about 120,greet
Any stylish jackets?,ask_product
can you show shirt minimal ~200,ask_product
can you show derby shoes approximately 200,ask_product
show me clean skirt budget 200,ask_product
recommend boots approximately 200,ask_product
i need footwear max 200 in preppy aesthetic,ask_product
i need a clean outerwear below 200,ask_product
find me chic boots,ask_price
looking for jeans from 56 to 104,ask_price
can you show a minimalist tea dress about 80,ask_price
recommend retro summer dress,ask_product
show me skirt from 84 to 156 in athletic vibe,ask_product
i need a preppy ankle boots max 120,ask_product
find me shirt from 140 to 260,goodbye
can you show classic handbag,goodbye
looking for minimalist shirt,goodbye
find me a clean jacket below 80,greet
find me skirt max 80 in elegant aesthetic,greet
i need jeans cap at 80,greet
i need hype summer dress,ask_price
recommend athletic boots,ask_price
recommend refined derby shoes max 50,ask_price
can you show jacket approximately 200 in hype style,ask_product
find me sporty handbag approximately 200,ask_product
find me vintage handbag from 140 to 260,ask_product
find me shoes elegant budget 150,ask_product
looking for midi dress about 150,ask_product
recommend everyday jacket approximately 150,ask_product
find me ankle boots athleisure cap at 50,ask_style
recommend a elegant parka approximately 50,ask_style
show me shirt retro budget 50,ask_style
Do you have sporty outfits?,ask_style
looking for a minimalist jeans max 200,ask_style
show me a urban shirt max 200,ask_style
i need smart shirt approximately 200,ask_style
pull up tea dress max 80,greet
looking for a minimalist jeans from 56 to 104,greet
looking for grunge parka,greet
recommend leather shoes in the range of 84 and 156 in streetwear aesthetic,ask_product
can you show elegant skirt,ask_product
find me formal shirt below 120,ask_product
Do you have any shoes?,ask_product
recommend running shoes less than 120,ask_product
can you show overcoat max 120 in streetwear aesthetic,ask_product
can you show handbag below 120 in clean aesthetic,ask_product
find me classic shirt approximately 80,ask_style
can you show overcoat ~ 80,ask_style
looking for preppy handbag,ask_style
Any low-cost jackets?,ask_price
i need combat boots athletic about 150,ask_price
can you show running shoes athleisure less than 150,ask_price
recommend casual coat,ask_price
i need a urban derby shoes between 140 and 260,greet
i need sneakers below 200,greet
find me collegiate dress max 200,greet
see you next time,goodbye
i need skirt in the range of 84 and 156,goodbye
can you show retro leather shoes approximately 120,goodbye
recommend edgy ankle boots,goodbye
find me collegiate skirt under 50,ask_style
find me dress approximately 50 in minimal style,ask_style
i need skirt laid back ~50,ask_style
find me retro jeans,ask_style
show me a athletic skirt below 200,ask_style
looking for a collegiate skirt cap at 200,ask_style
recommend parka elegant budget 50,greet
recommend skirt dressy ~50,greet
i'd like overcoat cap at 50 in streetwear vibe,greet
i'd like overcoat approx 50,ask_style
find me coat ~ 50 in laid back style,ask_style
recommend a edgy summer dress from 35 and 65,ask_style
I'm looking for a jacket,ask_product
can you show elegant summer dress from 140 and 260,ask_product
can you show preppy combat boots approximately 200,ask_product
can you show elegant shirt below 200,ask_product
pull up overcoat from 70 to 130,ask_style
